Danger_Score,MMSI_A,MMSI_B,Distance_NM,Distance_Meters,TS_A,Latitude,Longitude,SOG_A,SOG_B,Delta_SOG_1,Delta_SOG_2,Delta_COG_1,Delta_COG_2,Report_Interval_Sec_1,File_Source
165,219021240,232018267,0.04034781540656343,74.7,2021-12-13 02:27:29,55.223082,14.244318,10.3,11.1,4.2,-0.7,35.5,0.9,11,part-00027-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
85,265750000,265755000,0.021512891309057713,39.8,2021-12-13 22:51:11,55.576198,14.613254,3.7,4.0,0.6,3.3,6.0,31.5,3,part-00407-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
65,265750000,265755000,0.016010325393934058,29.7,2021-12-07 08:23:11,55.676676,14.62891,4.2,3.7,0.0,2.3,13.6,29.5,2,part-00121-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
65,265750000,265755000,0.019778351834159855,36.6,2021-12-14 10:07:42,55.480742,14.627321,4.0,3.8,1.3,2.1,30.0,21.0,5,part-00174-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
65,261002520,261018880,0.041222965492417364,76.3,2021-12-17 20:11:33,54.668386,14.31835,5.7,5.8,0.3,5.0,11.0,44.9,9,part-00223-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
60,265750000,265755000,0.02546460127113281,47.2,2021-12-14 16:32:11,55.667678,14.66953,2.2,2.0,-2.4,-1.2,5.0,4.7,6,part-00178-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
60,219017554,219021219,0.018350096434589024,34.0,2021-12-29 13:44:58,55.188672,14.702047,2.5,2.7,0.2,-3.7,59.1,69.2,27,part-00377-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
55,265755000,266315000,0.013825126103104903,25.6,2021-12-07 06:31:22,55.556886,14.35843,3.0,3.4,2.1,0.1,144.1,9.7,124,part-00120-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
50,219019287,219021428,0.0065314810940376574,12.1,2021-12-12 14:58:33,55.326832,15.047368,2.2,2.2,0.0,0.0,1.9,0.2,12,part-00021-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
50,265750000,265755000,0.04741241542526891,87.8,2021-12-12 14:56:29,55.557947,14.356529,4.5,5.3,0.0,0.7,3.4,81.7,5,part-00021-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
50,219023182,219027087,0.0018992964444717588,3.5,2021-12-13 14:24:57,55.061792,15.147688,3.6,3.7,-0.1,0.1,5.1,4.6,31,part-00034-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
50,265750000,265755000,0.009914530318058114,18.4,2021-12-13 22:04:37,55.554589,14.590149,2.3,2.4,0.5,1.9,38.9,29.2,6,part-00038-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
50,111265584,246684000,0.00503444632077169,9.3,2021-12-02 10:49:06,55.251789,14.418935,6.0,6.1,1.0,0.0,8.6,0.0,10,part-00058-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
50,231848000,257206000,0.0015671958250691232,2.9,2021-12-03 06:06:54,55.63107,12.974835,8.5,8.7,0.0,0.4,0.3,2.3,2,part-00068-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
50,111265584,230368000,0.006908987309024734,12.8,2021-12-03 13:50:23,55.528311,14.779298,19.0,19.4,0.0,0.0,0.5,0.2,11,part-00072-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
50,219019287,219021428,0.010541217257860499,19.5,2021-12-07 07:10:49,55.278468,15.328051,2.4,2.0,0.8,0.2,8.7,0.4,5,part-00120-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
50,219019287,219021428,0.006251892186115431,11.6,2021-12-07 14:18:23,55.167365,15.467579,4.3,2.1,1.6,0.0,7.1,1.7,11,part-00125-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
50,219019287,219021428,0.007148146359387871,13.2,2021-12-10 09:23:23,55.295731,15.281626,2.0,2.2,0.2,-0.1,3.0,2.0,31,part-00161-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
50,215973000,982156973,0.005972090957456367,11.1,2021-12-14 08:24:03,55.617405,15.368102,11.4,11.0,0.0,0.3,0.0,4.5,10,part-00173-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
50,219019287,219021428,0.0075827604264966176,14.0,2021-12-14 08:20:22,55.274332,15.06688,2.6,2.0,1.2,0.0,10.7,0.7,10,part-00173-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
50,219019287,219021428,0.006140180576326737,11.4,2021-12-14 15:06:31,55.311216,15.081389,2.1,2.3,-0.2,0.0,4.1,0.2,9,part-00177-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
50,230053260,265512660,0.00264626619766133,4.9,2021-12-17 11:01:10,55.684468,14.429889,6.0,6.1,0.0,0.1,0.0,0.8,2,part-00217-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
50,230053260,265512660,0.007539310239669005,14.0,2021-12-17 11:55:06,55.596591,14.390955,6.3,6.3,0.0,0.0,0.0,0.9,11,part-00218-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
50,219019287,219021428,0.008693204156437468,16.1,2021-12-17 12:51:33,55.015971,15.463806,2.5,2.0,0.7,0.2,8.8,2.3,12,part-00219-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
50,230053260,265812560,0.003373221465547984,6.2,2021-12-17 13:22:23,55.55961,14.366239,5.1,5.1,-0.1,0.0,0.0,1.0,30,part-00219-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
50,261018330,261018880,0.05309416365141635,98.3,2021-12-17 15:47:06,54.996748,14.119008,4.6,3.9,-0.7,0.3,4.2,44.0,59,part-00221-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
50,261002520,261018880,0.03388254558297047,62.8,2021-12-17 20:45:52,54.640305,14.338375,5.8,5.7,-0.4,0.8,2.8,50.5,9,part-00224-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
50,230053260,265812560,0.0029483717074833297,5.5,2021-12-18 08:57:39,55.497949,14.342269,5.3,5.4,0.0,0.1,0.9,1.2,56,part-00231-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
45,265750000,265755000,0.010845140679680355,20.1,2021-12-13 06:53:01,55.613031,14.48479,4.3,3.2,0.5,2.2,9.0,7.7,3,part-00029-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
45,265750000,265755000,0.030518294303526084,56.5,2021-12-06 18:26:14,55.273976,14.135077,6.1,6.4,0.6,4.7,1.5,19.1,9,part-00114-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
40,219019287,219021428,0.03193333014973887,59.1,2021-12-16 13:31:02,55.052481,15.283586,2.1,3.0,-2.0,-0.2,13.4,0.4,11,part-00205-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,219019287,219021428,0.012564888650337822,23.3,2021-12-11 07:50:01,55.288892,15.287156,3.4,2.1,1.3,0.1,2.1,2.7,18,part-00004-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,219019287,219021428,0.012683184376879342,23.5,2021-12-12 06:59:42,55.234183,15.152724,3.4,2.0,0.3,0.1,0.5,0.1,10,part-00016-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,265750000,265755000,0.012718984352665027,23.6,2021-12-12 16:51:52,55.640325,14.453759,3.6,2.7,1.0,1.5,5.1,6.6,3,part-00022-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,231848000,565835000,0.020370407977072232,37.7,2021-12-12 20:50:00,55.62102,12.988869,4.1,4.3,0.1,0.0,2.8,0.6,5,part-00024-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,219019287,219021428,0.01896271500195359,35.1,2021-12-13 07:00:02,55.241462,15.099639,3.0,2.0,0.1,0.1,1.2,1.2,3,part-00029-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,219019287,219021428,0.025186332280681595,46.6,2021-12-13 14:47:02,55.322954,15.022033,2.0,3.3,0.0,-0.3,1.7,0.1,3,part-00034-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,265750000,265755000,0.01220713784266832,22.6,2021-12-13 16:21:54,55.539724,14.533945,2.0,2.4,0.8,-0.2,5.4,1.6,18,part-00035-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,265750000,265755000,0.025288175007755192,46.8,2021-12-01 06:01:34,55.630449,14.602929,2.5,2.1,-0.7,-1.4,0.9,1.2,3,part-00042-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,111265584,636020229,0.024197313361991973,44.8,2021-12-02 10:35:06,55.385855,14.631164,9.0,10.5,-1.0,0.1,10.8,0.9,11,part-00057-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,219019287,219021428,0.028498397649012634,52.8,2021-12-03 15:52:11,55.248097,15.08823,3.4,3.6,-1.0,-0.1,19.1,0.8,8,part-00074-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,219028337,563255000,0.02375183721073169,44.0,2021-12-05 07:41:00,55.632632,12.973239,6.4,6.3,-0.2,0.0,5.8,0.2,4,part-00095-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
30,219028337,563255000,0.012204199430683365,22.6,2021-12-06 12:53:20,55.625946,12.981665,5.8,6.3,0.2,0.1,2.4,0.2,7,part-00111-c95f162d-b789-41f7-88bb-629477da8384.c000.snappy.parquet
